Word1,Word2,Cosine Similarity
张无忌,张无忌,0.99999994
张无忌,赵敏,0.77673346
张无忌,周芷若,0.784698
张无忌,段誉,0.67133844
张无忌,黄蓉,0.6014181
张无忌,小龙女,0.6063004
张无忌,岳不群,0.65898037
张无忌,东方不败,0.56286955
张无忌,鳌拜,0.25858444
乔峰,张无忌,0.6543456
乔峰,赵敏,0.6458011
乔峰,周芷若,0.67506903
乔峰,段誉,0.77161103
乔峰,黄蓉,0.59503835
乔峰,小龙女,0.66544515
乔峰,岳不群,0.73964775
乔峰,东方不败,0.6561262
乔峰,鳌拜,0.45229268
郭靖,张无忌,0.5695226
郭靖,赵敏,0.618052
郭靖,周芷若,0.6566366
郭靖,段誉,0.636228
郭靖,黄蓉,0.8771849
郭靖,小龙女,0.74583894
郭靖,岳不群,0.6471246
郭靖,东方不败,0.4344248
郭靖,鳌拜,0.23637103
杨过,张无忌,0.6294895
杨过,赵敏,0.6499567
杨过,周芷若,0.6816827
杨过,段誉,0.729422
杨过,黄蓉,0.8493634
杨过,小龙女,0.8797236
杨过,岳不群,0.6310637
杨过,东方不败,0.444341
杨过,鳌拜,0.21914029
令狐冲,张无忌,0.7658861
令狐冲,赵敏,0.7340523
令狐冲,周芷若,0.7162153
令狐冲,段誉,0.7212551
令狐冲,黄蓉,0.57284176
令狐冲,小龙女,0.5985098
令狐冲,岳不群,0.7922842
令狐冲,东方不败,0.58741355
令狐冲,鳌拜,0.22025834
韦小宝,张无忌,0.51138747
韦小宝,赵敏,0.516143
韦小宝,周芷若,0.45306417
韦小宝,段誉,0.47377434
韦小宝,黄蓉,0.55244774
韦小宝,小龙女,0.40351093
韦小宝,岳不群,0.34869763
韦小宝,东方不败,0.34681672
韦小宝,鳌拜,0.33964306
